commonname,scientificname,areaname,LME,MSE / OMP built?,MSE built citation,MSE operational in management?,Operational in management citation
Pacific herring,Clupea pallasii,Queen Charlotte Islands,2,Yes,"DFO. (2020). Evaluation of management procedures for Pacific herring (Clupea pallasii) in Haida Gwaii, Prince Ruptert District, and the Central Coast management areas of British Columbia (No. 2020/003; DFO Can. Sci. Advis. Sec. Sci. Resp.). DFO.;  Surma, S., Pitcher, T. J., Kumar, R., Varkey, D., Pakhomov, E. A., & Lam, M. E. (2018). Herring supports Northeast Pacific predators and fisheries: Insights from ecosystem modelling and management strategy evaluation. PLOS ONE, 13(7), e0196307. https://doi.org/10.1371/journal.pone.0196307 ; Armitage, D. R., Okamoto, D. K., Silver, J. J., Francis, T. B., Levin, P. S., Punt, A. E., Davies, I. P., Cleary, J. S., Dressel, S. C., Jones, R. R., Kitka, H., Lee, L. C., MacCall, A. D., McIsaac, J. A., Poe, M. R., Reifenstuhl, S., Shelton, A. O., Schmidt, J. O., Thornton, T. F., … Woodruff, J. (2019). Integrating Governance and Quantitative Evaluation of Resource Management Strategies to Improve Social and Ecological Outcomes. BioScience, 69(7), 523–532. https://doi.org/10.1093/biosci/biz059; Surma, S., Pitcher, T. J., and Pakhomov, E.A. In press. Trade-offs and uncertainties in Northeast Pacific herring fisheries: ecosystem modelling and management strategy evaluation. ICES JMS; Okamoto, D. K., Hessing‐Lewis, M., Samhouri, J. F., Shelton, A. O., Stier, A., Levin, P. S., & Salomon, A. K. (2020). Spatial variation in exploited metapopulations obscures risk of collapse. Ecological Applications, 30(3). https://doi.org/10.1002/eap.2051",No,NA
Pacific herring,Clupea pallasii,Strait of Georgia,2,Yes,"Cleary, J.S., Cox, S.P., Schweigert, J.F., 2010. Performance evaluation of harvest control rules for Pacific herring management in British Columbia, Canada. Ices Journal of Marine Science 67, 2005–2011. https://doi.org/10.1093/icesjms/fsq129",Not sure,NA
Pacific herring,Clupea pallasii,West Coast of Vancouver Island,2,Yes,"Cleary, J.S., Cox, S.P., Schweigert, J.F., 2010. Performance evaluation of harvest control rules for Pacific herring management in British Columbia, Canada. Ices Journal of Marine Science 67, 2005–2011. https://doi.org/10.1093/icesjms/fsq129",Not sure,NA
Pacific sardine,Sardinops sagax,Pacific Coast of Canada,2,unknown,NA,No,NA
Chilean jack mackerel,Trachurus murphyi,Chilean EEZ and offshore,13,unknown,NA,No,NA
Chilean sardine,Strangomera bentincki,Central-Southern Chile,13,Yes,Canales et al. (2020),In progress,NA
Peruvian anchoveta,Engraulis ringens,Central-Southern Chile,13,Yes,Canales et al. (2020),In progress,NA
Peruvian anchoveta,Engraulis ringens,Northern Chile Southern Peru,13,unknown,NA,No,NA
Southern sardine,Sprattus fuegensis,Central-Southern Chile,13,unknown,NA,No,NA
Herring,Clupea pallasii,Yellow Sea (Chinese fishery),48,No,NA,No,NA
Sand eel,Ammodytes spp,Sandeel Area 1,22,unknown,NA,No,NA
Sand eel,Ammodytes spp,Sandeel Area 2,22,unknown,NA,No,NA
Sand eel,Ammodytes spp,Sandeel Area 3,22,unknown,NA,No,NA
Sand eel,Ammodytes spp,Sandeel Area 4,22,unknown,NA,No,NA
Sand eel,Ammodytes spp,Sandeel Area 6,22,unknown,NA,No,NA
Sprat,Sprattus sprattus,ICES 6-7abcfghijk,24,unknown,NA,No,NA
Sprat,Sprattus sprattus,Kattegat and Skagerrak,22,Yes,https://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2018/WKspratMSE/WKspratMSE%20Report%202018.pdf,No,NA
Sprat,Sprattus sprattus,North Sea,22,Yes,https://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2018/WKspratMSE/WKspratMSE%20Report%202018.pdf,No,NA
Herring,Clupea harengus,Gulf of Riga East of Gotland,23,No,NA,No,NA
Greater silver smelt,Argentina silus,ICES 5b-4a,21,unknown,NA,No,NA
Herring,Clupea harengus,Subdivisions 30-31,23,unknown,NA,No,NA
Anchovy,Engraulis encrasicolus,Gulf of Lions,26,unknown,NA,No,NA
Sardine,Sardina pilchardus,Gulf of Lions,26,No,NA,No,NA
Sardine,Sardina pilchardus,ICES 8abd,24,unknown,NA,No,NA
Bonga,Ethmalosa fimbriata,West Africa,27,unknown,NA,No,NA
Herring,Clupea harengus,ICES 6a-7bc,60,No,NA,No,NA
Herring,Clupea harengus,Irish Sea,24,No,NA,No,NA
Herring,Clupea harengus,West of Scotland,60,unknown,NA,No,NA
