Common name,Species,Stock ,LME,Location (based on SPACC designated regions),MSE / OMP built?,AEP,MSE built citation,MSE operational in management?,Operational in management citation,Covered in ICES/PICES discussion?,Notes,Justification,,,,,,,,,,,,,,,,
Humboldt common sardine,Sardinops sagax,Central-South Chile,13,Humboldt Current,unknown,,NA,Not sure,,Yes,from Barange et al. 2009,,,,,,,,,,,,,,,,,
Jack mackerel,Trachurus murphyi,Chile,13,Humboldt Current,unknown,Need to check with Canales?,NA,Not sure,,Yes,from Checkley et al. 2009,,,,,,,,,,,,,,,,,
"Chub mackerel or ""mackerel""",Scomber japonicus,Chile,13,Humboldt Current,unknown,,NA,Not sure,,Yes,from Checkley et al. 2009,,,,,,,,,,,,,,,,,
Japanese anchovy,Engraulis japonicus,NW Pacific,47,Kuroshio-Oyashio,unknown,,NA,Not sure,,No,from Barange et al. 2009,,,,,,,,,,,,,,,,,
Japanese anchovy,Engraulis japonicus,Seto,47,Kuroshio-Oyashio,unknown,,NA,Not sure,,No,from Barange et al. 2009,,,,,,,,,,,,,,,,,
Japanese anchovy,Engraulis japonicus,Tsushima,47,Kuroshio-Oyashio,unknown,,NA,Not sure,,No,from Barange et al. 2009,,,,,,,,,,,,,,,,,
Japanese sardine,Sardinops melaosticus,Pacific,47,Kuroshio-Oyashio,unknown,Hmm. Check with Okamura,NA,Not sure,,No,from Checkley et al. 2009,,,,,,,,,,,,,,,,,
Japanese sardine,Sardinops melaosticus,Tsushima Current,47,Kuroshio-Oyashio,unknown,,NA,Not sure,,No,from Checkley et al. 2009,,,,,,,,,,,,,,,,,
Bay of Biscay anchovy,Engraulis encrasicolus,Bay of Biscay,24,Northeast Atlantic,Yes,,"Sanchez, S., Ibaibarriaga, L., Uriarte, A., Prellezo, R., Andres, M., Abaunza, P., Jardim, E., Lehuta, S., Pawlowski, L., Roel, B., 2019. Challenges of management strategy evaluation for small pelagic fish: the Bay of Biscay anchovy case study. Mar. Ecol.-Prog. Ser. 617, 245–263. https://doi.org/10.3354/meps12602. Also look at Annex 9 of http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2016/WGHANSA/01%20WGHANSA%20Report%202016.pdf for further references.",Yes, http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/ane.27.8.pdf,Yes,from Barange et al. 2009; also mentioned in Sanchez et al. 2019,,The ICES stock is: anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay),,,,,,,,,,,,,,,
European anchovy,Engraulis encrasicolus,Mediterranean stocks (except Adriatic Sea),26,Northeast Atlantic,unknown,,NA,No,,No,,,,,,,,,,,,,,,,,,
European anchovy,Engraulis encrasicolus,Adriatic,26,Northeast Atlantic,unknown,,http://www.fao.org/gfcm/technical-meetings/detail/en/c/1198582/,No,,Yes,from Barange et al. 2009,,,,,,,,,,,,,,,,,
"European Alantic sardine or ""Iberian sardine"" (ICES)",Sardina pilchardus,Sardine (Sardina pilchardus) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters),26,Northeast Atlantic,Yes,,"http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2013/WKSardineMP/WKSardineMP_2013.pdf. Rather consider more recent work, and citations therein: http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/Special_Requests/pores.2019.26.pdf",Yes,,Not sure,from Barange et al. 2009,"Jose: The MSE-evaluated HCR is provided as one of the catch scenarios from which managers can choose. For the advice relevant to 2021, the EU Commission requested ICES to provide advice based on the MSY approach, but the HCR was still one of the options presented in the advice sheet (see http://ices.dk/sites/pub/Publication%20Reports/Advice/2020/2020/pil.27.8c9a.pdf)",,,,,,,,,,,,,,,,
European sprat,Sprattus sprattus,Baltic,23,Northeast Atlantic,unknown,,NA,No,,Yes,from Barange et al. 2009,"I would argue no because case-specific examples of the EU-MAP have not been simulation tested within an MSE - see comment in Cell A40. This one is tricky. If you read the advice sheet (http://ices.dk/sites/pub/Publication%20Reports/Advice/2020/2020/spr.27.22-32.pdf) you would think there is a plan in place, and the plan as been evaluated ""An EU multiannual plan (MAP) in place for stocks in the Baltic Sea includes sprat (EU, 2016, 2019). The advice, based on the FMSY ranges used in the management plan, is considered precautionary."" However, although there were generic simulations to look at the MAP in general, case-specific examples were not necessarily evaluated (I don't know of any), and when the statement is made that it is ""considered precautionary"", it is because of the way the Fmsy ranges were defined using software that cannot be considered conducting an MSE (the software is used to define reference points and is extremely limited in terms of sources of uncertainty considered - if you are interested you can have a look at the WKMSYREF series of reports, particularly 3 and 4). So I would not consider an EU MAPs to have been evaluated within an MSE (unless it is specifically stated such evaluations have been conducted, which I doubt). This applies to all cases where EU MAPs are used.",This ICES stock is defined as: Sprat (Sprattus sprattus) in subdivisions 22–32 (Baltic Sea) ,,,,,,,,,,,,,,,
European sprat,Sprattus sprattus,"North Sea, Skagerrak and Kattegat",22,Northeast Atlantic,Yes,,https://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2018/WKspratMSE/WKspratMSE%20Report%202018.pdf,No,,Yes,from Barange et al. 2009,"Sprat in subarea 4 was merged with sprat in division 3a during a benchmark in 2018 (see http://ices.dk/sites/pub/Publication%20Reports/Advice/2020/2020/spr.27.3a4.pdf and references therein). However, the Bescapement-Fcap rule that was used to provide advice for the subarea 4 component (prior to the merger) was evaluated, probably within an MSE (I haven't checked, but see http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2018/2018/spr.27.4.pdf and references therein, in particular ICES 2014a).","The ICES stock is now defined as: Sprat (Sprattus sprattus) in Division 3.a and Subarea 4 (Skagerrak, Kattegat, and North Sea) ",,,,,,,,,,,,,,,
Atlantic herring,Clupea harengus,North Sea autumn spawning,22,Northeast Atlantic,Yes,,"http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2015/WKHERTAC/wkHerTAC_2015.pdf. This evaluation is now outdated, and you should look instead at: http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2019/Special_Requests/eu-norway.2019.06.pdf and references therein, in particular ICES 2019.","There is no shortage of management plans evaluated for NSAS herring, and the latest evaluation is given in column H. However, this is a jointly-managed stock (EU and Norway, soon to become EU, UK and Norway) and the different parties have not agreed a management plan, so ICES advises according to their next best option, i.e. their MSY approach.",,Not sure,from Barange et al. 2009,,"This ICES stock is defined as: Herring (Clupea harengus) in Subarea 4 and divisions 3.a and 7.d, autumn spawners (North Sea, Skagerrak and Kattegat, eastern English Channel) ",,,,,,,,,,,,,,,
Atlantic herring,Clupea harengus,North Sea,22,Northeast Atlantic,Yes,,cited by Dickey-Collas book chapter,Not sure,,Not sure,mentioned in book chapter from Edwards & Dankel 2016,,,,,,,,,,,,,,,,,
Atlantic herring,Clupea harengus,Gulf of Riga,23,Northeast Atlantic,unknown,,NA,No,,Not sure,from Barange et al. 2009,Jose: I would argue no because case-specific examples of the EU-MAP have not been simulation tested within an MSE - see comment in Cell A40,The ICES stock is defined as: Herring (Clupea harengus) in Subdivision 28.1 (Gulf of Riga) ,,,,,,,,,,,,,,,
Atlantic herring,Clupea harengus,Central Baltic,23,Northeast Atlantic,unknown,,NA,Not sure,,Yes,from Barange et al. 2009,,"The ICES stock is defined as: Herring (Clupea harengus) in subdivisions 25–29 and 32, excluding the Gulf of Riga (central Baltic Sea) ",,,,,,,,,,,,,,,
