"Land Area","Ocean Area","Species","Scientific name","2019","S_2019"
"Asia","Marine areas","Goldstripe sardinella","Sardinella gibbosa","122130","F"
"Asia","Marine areas","Indian oil sardine","Sardinella longiceps","576017",""
"Asia","Marine areas","Japanese anchovy","Engraulis japonicus","930155",""
"Asia","Marine areas","Japanese pilchard","Sardinops melanostictus","636278",""
"Asia","Marine areas","Japanese sardinella","Sardinella zunasi","2168",""
"Asia","Marine areas","Pacific herring","Clupea pallasii","52109",""
"Asia","Marine areas","Rainbow sardine","Dussumieria acuta","18861.424","F"
"Asia","Marine areas","Red-eye round herring","Etrumeus teres","60798.6",""
"Asia","Marine areas","Round sardinella","Sardinella aurita","175.6",""
"Asia","Marine areas","Sardinellas nei","Sardinella spp","189322",""
"Asia","Marine areas","Silver-stripe round herring","Spratelloides gracilis","25",""
"Asia","Marine areas","Slender rainbow sardine","Dussumieria elopsoides","13","F"
"Asia","Marine areas","Spotted sardinella","Amblygaster sirm","44736.73","F"
"Asia","Marine areas","Stolephorus anchovies nei","Stolephorus spp","389553.481","F"
"Asia","Marine areas","Whitefin wolf-herring","Chirocentrus nudus","6922",""
"Asia","Marine areas","Wolf-herrings nei","Chirocentrus spp","35939.633",""
"Asia","Marine areas","Indian mackerel","Rastrelliger kanagurta","461778.242",""
"Asia","Marine areas","Indian mackerels nei","Rastrelliger spp","75776.128",""
"Asia","Marine areas","Indian scad","Decapterus russelli","121979.005",""
"Asia","Marine areas","Jack and horse mackerels nei","Trachurus spp","120577","F"
"Asia","Marine areas","Japanese jack mackerel","Trachurus japonicus","188199",""
"Asia","Marine areas","Japanese scad","Decapterus maruadsi","30429",""
"Asia","Marine areas","Mackerels nei","Scombridae","133227.172",""
"Asia","Marine areas","Mediterranean horse mackerel","Trachurus mediterraneus","13273.043",""
"Asia","Marine areas","Pacific chub mackerel","Scomber japonicus","1024087",""
"Asia","Marine areas","Pacific saury","Cololabis saira","188388",""
"Asia","Marine areas","Scads nei","Decapterus spp","1274398.334",""
"Asia","Marine areas","Scomber mackerels nei","Scomber spp","29","F"
"Asia","Marine areas","Short mackerel","Rastrelliger brachysoma","328702.38","F"
"Asia","Marine areas","Shrimp scad","Alepes djedaba","293.199",""
"Asia","Marine areas","Silversides(=Sand smelts) nei","Atherinidae","1108",""
"Asia","Marine areas","Torpedo scad","Megalaspis cordyla","126959.188",""
"Asia","Marine areas","Yellowstripe scad","Selaroides leptolepis","113283.588","F"
"Asia","Marine areas","Yellowtail scad","Atule mate","1965",""
"Europe","Marine areas","Atlantic chub mackerel","Scomber colias","173724.302",""
"Europe","Marine areas","Atlantic horse mackerel","Trachurus trachurus","177486.024",""
"Europe","Marine areas","Atlantic mackerel","Scomber scombrus","825705.737",""
"Europe","Marine areas","Atlantic saury","Scomberesox saurus","440.39",""
"Europe","Marine areas","Big-scale sand smelt","Atherina boyeri","374.74",""
"Europe","Marine areas","Blue jack mackerel","Trachurus picturatus","4467.46",""
"Europe","Marine areas","Cape horse mackerel","Trachurus capensis","238.46",""
"Europe","Marine areas","Capelin","Mallotus villosus","11028.587",""
"Europe","Marine areas","Chilean jack mackerel","Trachurus murphyi","21296",""
"Europe","Marine areas","Cunene horse mackerel","Trachurus trecae","172.86",""
"Europe","Marine areas","False scad","Caranx rhonchus","62.6",""
"Europe","Marine areas","Atlantic herring","Clupea harengus","1470867.206",""
"Europe","Marine areas","Bonga shad","Ethmalosa fimbriata","0.75",""
"Europe","Marine areas","Clupeoids nei","Clupeoidei","123.19",""
"Europe","Marine areas","European anchovy","Engraulis encrasicolus","149427.805",""
"Europe","Marine areas","European pilchard(=Sardine)","Sardina pilchardus","221938.389",""
"Europe","Marine areas","European sprat","Sprattus sprattus","503051.437",""
"Europe","Marine areas","Japanese pilchard","Sardinops melanostictus","131088",""
"Europe","Marine areas","Madeiran sardinella","Sardinella maderensis","111.862",""
"Europe","Marine areas","Pacific herring","Clupea pallasii","379574",""
"Europe","Marine areas","Round sardinella","Sardinella aurita","15768.333",""
"Europe","Marine areas","Sardinellas nei","Sardinella spp","1148.53",""
"Europe","Marine areas","Jack and horse mackerels nei","Trachurus spp","80813.64",""
"Europe","Marine areas","Mackerels nei","Scombridae","113.38",""
"Europe","Marine areas","Mediterranean horse mackerel","Trachurus mediterraneus","4361.734",""
"Europe","Marine areas","Mediterranean sand smelt","Atherina hepsetus","3",""
"Europe","Marine areas","Pacific chub mackerel","Scomber japonicus","84401",""
"Europe","Marine areas","Pacific saury","Cololabis saira","2403",""
"Europe","Marine areas","Sand smelt","Atherina presbyter","17.56",""
"Europe","Marine areas","Scomber mackerels nei","Scomber spp","23136.82",""
"Europe","Marine areas","Silversides(=Sand smelts) nei","Atherinidae","574.49",""
"Oceania","Marine areas","Blue mackerel","Scomber australasicus","9213",""
"Oceania","Marine areas","Flyingfishes nei","Exocoetidae","478","F"
"Oceania","Marine areas","Greenback horse mackerel","Trachurus declivis","4254",""
"Oceania","Marine areas","Anchovies, etc. nei","Engraulidae","2.654",""
"Oceania","Marine areas","Australian pilchard","Sardinops neopilchardus","397",""
"Oceania","Marine areas","Bluestripe herring","Herklotsichthys quadrimaculat.","16","F"
"Oceania","Marine areas","Clupeoids nei","Clupeoidei","42563.503",""
"Oceania","Marine areas","Indian mackerel","Rastrelliger kanagurta","220","F"
"Oceania","Marine areas","Jack and horse mackerels nei","Trachurus spp","43134",""
"Oceania","Marine areas","Mackerels nei","Scombridae","7358.075",""
"Oceania","Marine areas","Pacific saury","Cololabis saira","3465",""
"Oceania","Marine areas","Scads nei","Decapterus spp","9",""
