Common name,Species,Stock ,LME,Location (based on SPACC designated regions),MSE / OMP built?,MSE operational in management?,Covered in ICES/PICES discussion?,Notes
Atlantic herring,Clupea harengus,Arcto-Norwegian spring spawning (stock key her.27.3a47d),NA,Northeast Atlantic,Yes,Yes,Yes,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf)
Antarctic krill,Euphausia superba,Antarctic,61,Antarctic,Yes,Not sure,No,from WoS search
Atlantic herring,Clupea harengus,Northwest Atlantic,NA,Northwest Atlantic,Yes,Not sure,Yes,from WoS search
Pacific herring,Clupea pallasii,British Columbia,2,Northeast Pacific,Yes,Not sure,Yes,from WoS search
Pacific herring,Clupea pallasii,British Columbia,2,Northeast Pacific,Yes,Not sure,,
Blue whiting,Micromesistius poutassou ,North Sea - stock key whb.27.1-91214,22,Northeast Atlantic,Yes,Yes,Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf)
Horse mackerel,Trachurus trachurus,Western stock  - stock key hom.27.2a4a5b6a7a- ce-k8,NA,Northeast Atlantic,Yes,No,Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf)
Horse mackerel,Trachurus trachurus,North Sea stock - stock key hom.27.3a4bc7d,22,Northeast Atlantic,Yes,No,Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf)
Capelin,Mallotus villosus,Barents Sea - stock key cap.27.1-2,64,Arctic,Yes,Yes,Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf)
Atlantic herring,Clupea harengus,Icelandic summer spawning herring - stock key her.27.5a,NA,,Yes,Yes,Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf)
Sardine,Sardina pilchardus,Bay of Biscay and the Iberian Coast Ecoregion - stock key pil.27.8c9a,24,,Yes,Yes,Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf)
Herring,Clupea harengus,Norwegian spring-spawning herring - stock key her.27.1-24a514a,NA,,Yes,Yes,Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf)
Herring,Clupea harengus,Celtic Sea herring  - stock key her.27.irls,24,,Yes,No,Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf)
Southern horse mackerel,Trachurus trachurus,Atlanto-Iberian - stock key hom27.9a,25,,Yes,Yes,Not sure,from ICES MSE WKG 2019 (http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/Fisheries%20Resources%20Steering%20Group/2019/WKGMSE2/WKGMSE2%202019.pdf)
Atlantic mackerel,Scomber scombrus,"North east atlantic, subdivision 1-7",NA,Northeast Atlantic,Yes,Yes,,from ICES WKMACMSE http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2017/WKMACMSE/wkmacmse_2017.pdf
Pacific hake,Merluccius productus,California current,3,California Current,Yes,Not sure,No,
Herring,Clupea harengus,North Sea,22,Northeast Atlantic,Yes,Yes,,
Whiting,Merlangius merlangus,North Sea,22,Northeast Atlantic,Yes,No,No,ICES 2019 https://www.ices.dk/sites/pub/Publication%20Reports/Advice/2019/Special_Requests/eu-norway.2019.06.pdf
Norway pout,Trisopterus esmarkii,North Sea,22,Northeast Atlantic,Yes,Yes,No?,ICES 2018 http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2018/WKNPOUT/WKNPOUT%20Report%202018.pdf
Sand eel,Ammodytes spp.,North Sea,22,FAO sub-area IV,No,No,Yes?,
Herring,Clupea pallasii,Yellow Sea,48,,No,No,No,
